trial_id,server_received_connection_time,server_computation_start_time,server_computation_end_time,server_sent_data_time,client_received_time,start_time,client_connection_finished_time,client_setup_start_time,client_setup_finished_time,client_computation_start_time,client_computation_finish_time,prediction
37,1679441260.3941023,1679441260.3941023,1679441260.8617134,1679441260.8627148,1679441260.9292765,1679441260.3930361,1679441260.3941023,1679441260.3941023,1679441260.3941023,1679441260.9292765,1679441262.480494,0
38,1679441262.4823947,1679441262.4823947,1679441262.9447908,1679441262.945788,1679441263.018984,1679441262.4814882,1679441262.4823947,1679441262.4823947,1679441262.4823947,1679441263.018984,1679441264.587126,0
39,1679441264.5891192,1679441264.5901148,1679441265.054229,1679441265.0552258,1679441265.123997,1679441264.5881226,1679441264.5891192,1679441264.5891192,1679441264.5891192,1679441265.123997,1679441266.8266792,0
40,1679441266.8289413,1679441266.8289413,1679441267.3316705,1679441267.3326678,1679441267.4381754,1679441266.8276813,1679441266.8289413,1679441266.8289413,1679441266.8289413,1679441267.4391785,1679441269.0482717,0
41,1679441269.0516112,1679441269.0516112,1679441269.4290373,1679441269.4300513,1679441269.5082538,1679441269.04927,1679441269.0502658,1679441269.0502658,1679441269.0516112,1679441269.5082538,1679441271.0917811,0
42,1679441271.093698,1679441271.0946953,1679441271.5609038,1679441271.5618982,1679441271.637393,1679441271.093698,1679441271.093698,1679441271.093698,1679441271.093698,1679441271.637393,1679441273.1611812,0
43,1679441273.1631749,1679441273.1631749,1679441273.5650237,1679441273.567017,1679441273.6488068,1679441273.1621783,1679441273.1631749,1679441273.1631749,1679441273.1631749,1679441273.6488068,1679441275.245786,0
44,1679441275.2477784,1679441275.2477784,1679441275.73264,1679441275.7336369,1679441275.8025994,1679441275.246784,1679441275.2477784,1679441275.2477784,1679441275.2477784,1679441275.8025994,1679441277.308278,0
45,1679441277.3112683,1679441277.3112683,1679441277.7387567,1679441277.7397404,1679441277.8161268,1679441277.309274,1679441277.3112683,1679441277.3112683,1679441277.3112683,1679441277.8161268,1679441279.3365126,0
46,1679441279.3385067,1679441279.3385067,1679441279.772746,1679441279.773748,1679441279.8421044,1679441279.33751,1679441279.3385067,1679441279.3385067,1679441279.3385067,1679441279.8431013,1679441281.4117486,0
47,1679441281.4138715,1679441281.4138715,1679441281.9464052,1679441281.9474952,1679441282.0146918,1679441281.4128623,1679441281.4138715,1679441281.4138715,1679441281.4138715,1679441282.0146918,1679441283.6103277,0
48,1679441283.6124258,1679441283.6134489,1679441284.00474,1679441284.0057366,1679441284.0794892,1679441283.6114151,1679441283.6124258,1679441283.6124258,1679441283.6134489,1679441284.0794892,1679441285.614777,0
